IdLandkreis,Altersgruppe,Geschlecht,Meldedatum,Refdatum,IstErkrankungsbeginn,NeuerFall,NeuerTodesfall,NeuGenesen,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
5562,A15-A34,M,2021-01-15,2020-01-14,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-04-02,2020-02-28,1,0,-9,0,1,0,1
5562,A15-A34,M,2020-03-31,2020-03-02,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-10,2020-03-04,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-16,2020-03-04,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-04-23,2020-03-05,1,0,-9,0,1,0,1
5562,A60-A79,M,2020-04-20,2020-03-05,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-28,2020-03-05,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-11,2020-03-05,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-12,2020-03-06,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-16,2020-03-06,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-26,2020-03-07,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-11,2020-03-07,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-13,2020-03-07,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-04-21,2020-03-07,1,0,-9,0,1,0,1
5562,A15-A34,M,2020-03-12,2020-03-07,1,0,-9,0,1,0,1
5562,A60-A79,M,2020-03-17,2020-03-07,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-17,2020-03-08,1,0,-9,0,1,0,1
5562,A60-A79,M,2020-03-17,2020-03-08,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-18,2020-03-08,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-18,2020-03-09,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-17,2020-03-09,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-11,2020-03-09,1,0,-9,0,2,0,2
5562,A35-A59,M,2020-03-16,2020-03-09,1,0,-9,0,3,0,3
5562,A35-A59,M,2020-03-30,2020-03-09,1,0,-9,0,1,0,1
5562,A15-A34,M,2020-03-13,2020-03-10,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-24,2020-03-10,1,0,-9,0,1,0,1
5562,A15-A34,M,2020-03-16,2020-03-10,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-16,2020-03-10,1,0,-9,0,8,0,8
5562,A35-A59,M,2020-04-21,2020-03-10,1,0,-9,0,1,0,1
5562,A35-A59,M,2020-03-23,2020-03-10,1,0,-9,0,1,0,1
