IdLandkreis,Altersgruppe,Geschlecht,Meldedatum,Refdatum,IstErkrankungsbeginn,NeuerFall,NeuerTodesfall,NeuGenesen,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
7335,A35-A59,M,2020-11-16,2020-01-03,1,0,-9,0,1,0,1
7335,A60-A79,M,2020-03-22,2020-03-11,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-03-12,2020-03-12,0,0,-9,0,1,0,1
7335,A60-A79,M,2020-03-12,2020-03-12,0,0,-9,0,1,0,1
7335,A60-A79,M,2020-03-31,2020-03-12,1,0,-9,0,1,0,1
7335,A15-A34,M,2020-03-20,2020-03-14,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-03-15,2020-03-15,0,0,-9,0,1,0,1
7335,A15-A34,M,2020-03-15,2020-03-15,0,0,-9,0,1,0,1
7335,A35-A59,M,2020-03-22,2020-03-15,1,0,-9,0,1,0,1
7335,A15-A34,M,2020-03-21,2020-03-15,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-04-08,2020-03-15,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-03-16,2020-03-15,1,0,-9,0,1,0,1
7335,A15-A34,M,2020-04-14,2020-03-16,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-04-07,2020-03-17,1,0,-9,0,1,0,1
7335,A15-A34,M,2020-03-31,2020-03-18,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-03-24,2020-03-18,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-03-22,2020-03-18,1,0,-9,0,2,0,2
7335,A35-A59,M,2020-03-24,2020-03-19,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-03-26,2020-03-19,1,0,-9,0,1,0,1
7335,A15-A34,M,2020-03-28,2020-03-20,1,0,-9,0,1,0,1
7335,A60-A79,M,2020-04-01,2020-03-20,1,0,-9,0,1,0,1
7335,A15-A34,M,2020-03-24,2020-03-20,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-03-27,2020-03-21,1,0,-9,0,1,0,1
7335,A05-A14,M,2020-03-25,2020-03-21,1,0,-9,0,1,0,1
7335,A60-A79,M,2020-03-28,2020-03-22,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-04-04,2020-03-22,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-03-31,2020-03-22,1,0,-9,0,1,0,1
7335,A60-A79,M,2020-03-28,2020-03-23,1,0,-9,0,1,0,1
7335,A60-A79,M,2020-03-24,2020-03-24,0,0,-9,0,1,0,1
7335,A35-A59,M,2020-03-24,2020-03-24,0,0,-9,0,1,0,1
7335,A15-A34,M,2020-03-26,2020-03-24,1,0,-9,0,1,0,1
7335,A60-A79,M,2020-03-25,2020-03-25,0,0,-9,0,1,0,1
7335,A35-A59,M,2020-04-05,2020-03-25,1,0,-9,0,1,0,1
7335,A15-A34,M,2020-04-06,2020-03-26,1,0,-9,0,1,0,1
7335,A15-A34,M,2020-03-27,2020-03-27,0,0,-9,0,1,0,1
7335,A35-A59,M,2020-04-01,2020-03-28,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-04-13,2020-04-06,1,0,-9,0,1,0,1
7335,A15-A34,M,2020-04-07,2020-04-07,0,0,-9,0,1,0,1
7335,A35-A59,M,2020-04-08,2020-04-08,0,0,-9,0,2,0,2
7335,A35-A59,M,2020-04-17,2020-04-11,1,0,-9,0,1,0,1
7335,A80+,M,2020-04-13,2020-04-13,0,0,-9,0,1,0,1
7335,A15-A34,M,2020-04-16,2020-04-16,0,0,-9,0,1,0,1
7335,A35-A59,M,2020-04-24,2020-04-24,0,0,-9,0,1,0,1
7335,A35-A59,M,2020-05-12,2020-05-09,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-05-20,2020-05-20,0,0,-9,0,1,0,1
7335,A15-A34,M,2020-06-05,2020-06-05,0,0,-9,0,1,0,1
7335,A15-A34,M,2020-06-30,2020-06-10,1,0,-9,0,1,0,1
7335,A15-A34,M,2020-06-25,2020-06-17,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-06-23,2020-06-23,0,0,-9,0,1,0,1
7335,A35-A59,M,2020-06-29,2020-06-24,1,0,-9,0,1,0,1
7335,A15-A34,M,2020-07-14,2020-07-10,1,0,-9,0,1,0,1
7335,A15-A34,M,2020-07-17,2020-07-13,1,0,-9,0,1,0,1
7335,A05-A14,M,2020-07-20,2020-07-20,0,0,-9,0,1,0,1
7335,A35-A59,M,2020-07-20,2020-07-20,0,0,-9,0,1,0,1
7335,A15-A34,M,2020-07-21,2020-07-21,0,0,-9,0,1,0,1
7335,A15-A34,M,2020-07-24,2020-07-22,1,0,-9,0,1,0,1
7335,A35-A59,M,2020-07-28,2020-07-28,0,0,-9,0,2,0,2
7335,A15-A34,M,2020-08-03,2020-07-30,1,0,-9,0,1,0,1
7335,A00-A04,M,2020-08-03,2020-07-30,1,0,-9,0,1,0,1
7335,A05-A14,M,2020-08-03,2020-07-30,1,0,-9,0,1,0,1
